SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500112,STATE BANK  ,A ,Q,391.05,393.15,377.50,381.20,381.20,387.50,32571,2095957,808770261.00,
500180,HDFC BANK   ,A ,Q,1577.00,1591.75,1535.65,1551.65,1551.65,1555.80,18352,372413,584732759.00,
500247,KOTAK MAH.BK,A ,Q,1975.00,1976.90,1912.00,1936.50,1936.50,1963.50,3343,95656,185488069.00,
500469,FEDERAL BANK,A ,Q,87.45,87.70,84.45,85.25,85.25,86.10,1775,661125,56985377.00,
532174,ICICI BANK  ,A ,Q,633.00,637.75,608.40,612.85,612.85,625.75,21749,1187019,744199953.00,
532187,INDUSIND BNK,A ,Q,1054.50,1057.00,1016.25,1023.10,1023.10,1039.45,5122,200176,207308008.00,
532210,CITY UNION  ,A ,Q,175.00,175.95,171.05,172.05,171.10,172.30,843,83166,14451241.00,
532215,AXIS BANK   ,A ,Q,772.00,776.10,745.25,750.30,750.30,760.45,7335,668208,509376828.00,
540065,RBLBANK     ,A ,Q,245.75,249.20,241.65,243.00,243.00,241.85,3652,380733,93433636.00,
541153,BANDHANBNK  ,A ,Q,350.50,359.85,345.50,348.80,348.80,349.70,14618,804508,285229476.00,
